                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.95807,                 2.8117,                0.95118,                0.09685,                0.64583,                0.29376,                0.24533,                0.82164,                 3.2685,                0.88575,             0.00021825,             0.00021825,             0.00021825
                     53,                0.98688,                 3.0842,                0.97919,                0.09685,                0.64583,                0.29376,                0.24533,                0.82164,                 3.2685,                0.88575,             0.00022204,             0.00022204,             0.00022204
                     54,                0.93237,                 3.0053,                0.97648,                0.10533,                0.69583,                0.31367,                 0.2596,                0.81844,                 3.2773,                0.88636,             0.00022581,             0.00022581,             0.00022581
                     55,                0.94262,                 2.9185,                0.97185,                0.10533,                0.69583,                0.31367,                 0.2596,                0.81844,                 3.2773,                0.88636,             0.00022956,             0.00022956,             0.00022956
                     56,                0.96906,                 2.8056,                0.99606,                0.10533,                0.69583,                0.31367,                 0.2596,                0.81844,                 3.2773,                0.88636,             0.00023329,             0.00023329,             0.00023329
                     57,                0.95112,                 2.8296,                0.95824,                0.12052,                 0.8375,                0.33337,                0.27521,                0.80924,                  3.252,                0.88615,               0.000237,               0.000237,               0.000237
                     58,                0.96722,                   2.49,                0.98177,                0.12052,                 0.8375,                0.33337,                0.27521,                0.80924,                  3.252,                0.88615,              0.0002407,              0.0002407,              0.0002407
                     59,                0.95032,                 2.5833,                0.96218,                0.12052,                 0.8375,                0.33337,                0.27521,                0.80924,                  3.252,                0.88615,             0.00024437,             0.00024437,             0.00024437
                     60,                0.95176,                 2.7046,                0.97925,                0.12146,                0.85411,                0.33447,                0.27383,                0.80423,                 3.2158,                0.88873,             0.00024803,             0.00024803,             0.00024803
                     61,                0.94285,                 2.3673,                0.98065,                0.12146,                0.85411,                0.33447,                0.27383,                0.80423,                 3.2158,                0.88873,             0.00025167,             0.00025167,             0.00025167
                     62,                0.94654,                 2.8396,                0.97609,                0.12146,                0.85411,                0.33447,                0.27383,                0.80423,                 3.2158,                0.88873,             0.00025529,             0.00025529,             0.00025529
                     63,                 1.0041,                 2.5598,                 1.0134,                 0.1231,                0.86453,                0.41269,                0.33223,                0.80902,                 3.1787,                 0.8911,             0.00025889,             0.00025889,             0.00025889
                     64,                0.96935,                 2.4334,                0.96946,                 0.1231,                0.86453,                0.41269,                0.33223,                0.80902,                 3.1787,                 0.8911,             0.00026247,             0.00026247,             0.00026247
                     65,                0.95496,                 2.6621,                0.92979,                 0.1231,                0.86453,                0.41269,                0.33223,                0.80902,                 3.1787,                 0.8911,             0.00026604,             0.00026604,             0.00026604
                     66,                0.98928,                  2.801,                0.94146,                0.12716,                0.89792,                0.42882,                0.33117,                0.82566,                 3.0953,                0.89501,             0.00026958,             0.00026958,             0.00026958
                     67,                0.94785,                 2.5705,                0.96809,                0.12716,                0.89792,                0.42882,                0.33117,                0.82566,                 3.0953,                0.89501,             0.00027311,             0.00027311,             0.00027311
                     68,                0.91829,                 2.3183,                0.98378,                0.12716,                0.89792,                0.42882,                0.33117,                0.82566,                 3.0953,                0.89501,             0.00027661,             0.00027661,             0.00027661
                     69,                0.98076,                 2.4776,                0.97095,                 0.1198,                0.85625,                0.44174,                0.34131,                0.83351,                 2.9937,                 0.8981,              0.0002801,              0.0002801,              0.0002801
